name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
HoChiMinh,2015-09-28,32.4,24.1,27.4,37.8,24.1,29.7,23.3,79.0,7.5,100,37.5,rain,0,0,29.5,17.4,263.0,1007.9,73.5,9.6,192.4,16.6,8,,2015-09-28T05:42:02,2015-09-28T17:45:56,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-09-29,33.0,24.0,28.2,37.6,24.0,30.8,23.0,74.9,0.6,100,4.17,rain,0,0,24.1,15.7,274.2,1008.3,66.1,9.4,216.2,18.6,7,,2015-09-29T05:41:59,2015-09-29T17:45:19,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-09-30,33.6,26.0,29.3,38.2,26.0,32.5,23.3,71.4,0.1,100,4.17,rain,0,0,32.0,15.0,247.0,1010.1,54.6,9.5,238.2,20.7,9,,2015-09-30T05:41:57,2015-09-30T17:44:41,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-01,34.0,26.0,29.8,38.4,26.0,33.6,23.5,70.3,2.6,100,25.0,rain,0,0,27.7,19.6,257.8,1011.0,57.1,10.0,236.7,20.5,8,,2015-10-01T05:41:55,2015-10-01T17:44:03,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-02,33.0,26.0,29.0,39.2,26.0,32.4,23.9,75.2,9.3,100,8.33,rain,0,0,29.9,17.4,277.4,1010.8,71.4,9.0,230.3,19.9,8,,2015-10-02T05:41:53,2015-10-02T17:43:26,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-03,31.4,26.0,27.8,36.1,26.0,30.8,23.4,77.5,20.0,100,4.17,rain,0,0,36.4,24.2,241.0,1011.0,85.6,9.2,140.9,12.1,7,,2015-10-03T05:41:52,2015-10-03T17:42:49,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-04,31.4,25.0,27.6,36.0,25.0,29.7,22.9,76.1,0.2,100,8.33,rain,0,0,35.6,17.8,235.9,1011.6,77.0,9.3,188.9,16.1,7,,2015-10-04T05:41:51,2015-10-04T17:42:13,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-05,32.0,25.4,28.4,36.3,25.4,31.0,23.0,73.6,1.0,100,4.17,rain,0,0,22.0,8.8,271.7,1012.1,82.2,7.0,145.5,12.6,5,,2015-10-05T05:41:50,2015-10-05T17:41:37,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-06,33.0,25.4,29.2,38.1,25.4,32.0,23.5,72.8,0.8,100,4.17,rain,0,0,26.6,14.8,306.8,1011.1,64.8,6.0,259.4,22.4,9,,2015-10-06T05:41:49,2015-10-06T17:41:01,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-07,32.6,24.0,28.0,38.0,24.0,30.9,23.2,76.0,66.4,100,8.33,rain,0,0,17.3,15.0,200.3,1010.9,59.9,8.0,211.6,18.4,9,,2015-10-07T05:41:49,2015-10-07T17:40:26,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-08,32.6,25.0,28.1,38.1,25.0,31.0,23.8,78.4,5.3,100,25.0,rain,0,0,18.7,15.0,125.9,1010.3,49.4,6.6,243.8,21.0,9,,2015-10-08T05:41:49,2015-10-08T17:39:51,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-09,33.9,24.0,26.5,38.3,24.0,27.8,23.1,82.6,0.4,100,4.17,rain,0,0,24.8,26.3,20.9,1010.2,77.4,7.5,226.0,19.4,9,,2015-10-09T05:41:49,2015-10-09T17:39:17,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-10,33.0,24.0,27.6,38.7,24.0,30.1,23.3,78.3,8.8,100,8.33,rain,0,0,28.8,18.8,274.1,1010.7,75.5,7.4,225.4,19.4,8,,2015-10-10T05:41:50,2015-10-10T17:38:43,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-11,34.1,25.0,28.9,38.7,25.0,31.6,23.2,73.2,5.3,100,33.33,rain,0,0,21.6,11.5,313.8,1011.3,56.1,8.5,233.7,20.2,9,,2015-10-11T05:41:52,2015-10-11T17:38:09,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-12,32.4,25.0,28.1,38.2,25.0,30.9,23.9,79.1,61.0,100,4.17,rain,0,0,38.9,15.4,86.2,1011.9,70.2,8.5,167.5,14.6,6,,2015-10-12T05:41:53,2015-10-12T17:37:36,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-13,34.2,25.0,28.3,38.8,25.0,31.1,23.7,77.5,3.7,100,29.17,rain,0,0,29.5,18.5,83.6,1011.8,59.4,8.1,200.9,17.5,8,,2015-10-13T05:41:55,2015-10-13T17:37:04,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-14,32.8,24.0,27.8,39.5,24.0,30.4,23.8,79.7,14.0,100,4.17,rain,0,0,19.4,15.1,3.7,1011.1,57.8,8.1,224.1,19.4,8,,2015-10-14T05:41:58,2015-10-14T17:36:32,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-15,31.6,24.0,26.7,36.9,24.0,28.5,23.3,82.5,0.2,100,4.17,rain,0,0,27.0,13.7,293.6,1010.6,66.1,8.2,169.3,14.6,6,,2015-10-15T05:42:01,2015-10-15T17:36:01,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-16,32.6,24.4,27.4,38.1,24.4,29.4,23.5,80.9,25.0,100,8.33,rain,0,0,22.7,17.4,301.2,1010.1,76.7,8.0,182.7,16.0,7,,2015-10-16T05:42:05,2015-10-16T17:35:30,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-17,32.9,24.0,28.5,37.4,24.0,31.3,23.2,74.6,2.0,100,4.17,rain,0,0,20.5,11.2,287.2,1009.6,54.9,8.2,227.6,19.7,8,,2015-10-17T05:42:09,2015-10-17T17:35:01,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-18,31.6,25.9,28.0,37.3,25.9,31.1,23.7,78.0,3.1,100,8.33,rain,0,0,24.5,13.0,252.7,1010.7,56.0,9.9,198.2,17.2,8,,2015-10-18T05:42:13,2015-10-18T17:34:31,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-19,33.6,25.0,28.7,38.8,25.0,31.6,23.5,74.7,3.5,100,45.83,rain,0,0,19.1,15.8,233.5,1009.9,59.1,9.2,179.3,15.6,7,,2015-10-19T05:42:18,2015-10-19T17:34:03,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-20,32.0,26.0,28.3,38.6,26.0,31.5,24.0,78.0,7.2,100,4.17,rain,0,0,22.0,15.8,200.0,1008.6,58.1,8.6,173.0,14.8,6,,2015-10-20T05:42:24,2015-10-20T17:33:35,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-21,31.4,25.9,27.7,37.8,25.9,30.1,24.0,81.0,0.5,100,4.17,rain,0,0,23.4,11.5,74.5,1008.9,64.7,7.6,164.3,14.2,6,,2015-10-21T05:42:30,2015-10-21T17:33:08,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-22,33.2,24.4,28.0,38.9,24.4,30.4,23.9,79.5,1.6,100,37.5,rain,0,0,40.7,20.5,177.6,1009.2,59.9,7.7,220.8,19.1,8,,2015-10-22T05:42:37,2015-10-22T17:32:41,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-23,31.0,22.9,26.7,36.5,22.9,28.7,23.4,82.9,59.4,100,8.33,rain,0,0,21.6,21.4,145.1,1009.8,74.9,7.1,170.9,14.9,6,,2015-10-23T05:42:45,2015-10-23T17:32:16,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-24,33.4,24.0,28.1,36.6,24.0,30.3,22.6,73.8,6.0,100,4.17,rain,0,0,27.7,14.0,96.0,1010.3,53.9,7.9,243.9,21.2,8,,2015-10-24T05:42:53,2015-10-24T17:31:51,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-25,34.0,25.1,29.3,37.2,25.1,31.9,22.4,68.4,0.2,100,4.17,rain,0,0,35.3,15.1,104.6,1010.7,49.6,9.1,222.7,19.1,7,,2015-10-25T05:43:01,2015-10-25T17:31:27,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-26,33.6,26.0,29.2,37.9,26.0,32.1,22.7,68.8,1.9,100,20.83,rain,0,0,34.9,14.8,101.3,1010.9,55.2,9.7,218.4,19.0,8,,2015-10-26T05:43:10,2015-10-26T17:31:04,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999,48900099999,VVTS"
